ToolName,Num_Pat,Num_Net,AUROC_Tool,AUROC_PHACTboost,AUPR_Tool,AUPR_PHACTboost
SIFT,9559,12507,0.903522641192678,0.98822825553091,0.850641730174386,0.985767641054065
SIFT4G,9582,13161,0.884621261108532,0.988152062654534,0.80959800405827,0.985152005722599
Polyphen2_HDIV,9447,11870,0.897680626604025,0.988115107482537,0.84093379904744,0.986142801278355
Polyphen2_HVAR,9447,11870,0.91677285479252,0.988115107482537,0.880588993356713,0.986142801278355
LRT,9404,10334,0.894296840277398,0.9870225370128,0.850605804280253,0.986558491959386
MutationTaster,9743,12927,0.926826892936986,0.988283197825082,0.864347858253833,0.985707973787435
MutationAssessor,9295,11545,0.897889839114478,0.988198277386328,0.877419020149422,0.986301906498008
FATHMM,9586,12405,0.902762942868198,0.988264198267686,0.888503800417591,0.985995981180907
PROVEAN,9671,12569,0.902836917199788,0.988249135272779,0.852826674643626,0.985880745796981
VEST4,9762,13360,0.986165081484235,0.988265417536087,0.981191691303245,0.985343115421347
REVEL,9650,12563,0.984138961396221,0.988327092593153,0.982231445148814,0.985938160427594
MVP,9771,2653,0.9697197947587,0.987945474162683,0.991449903948451,0.996586492813093
gMVP,9574,13333,0.976414487654845,0.988714262456417,0.971298118016224,0.985609052688478
MPC,9075,11015,0.887540491366016,0.987972064139967,0.868316786711179,0.986262103325203
PrimateAI,9585,12266,0.921614752315729,0.988153273622352,0.892922356181436,0.985892905941524
DEOGEN2,9587,12822,0.975925212931902,0.988007729686943,0.971353320909681,0.98533492201688
LIST-S2,9663,13043,0.945733981476456,0.98836617041139,0.922045837349897,0.985701451356113
VARITY_R,9639,12852,0.965994349809652,0.988172917839804,0.95472686872756,0.98551623785486
VARITY_ER,9639,12852,0.961075562315641,0.988172917839804,0.948490198591898,0.98551623785486
VARITY_R_LOO,9639,12852,0.965851679976447,0.988172917839804,0.954474273931489,0.98551623785486
VARITY_ER_LOO,9639,12852,0.961022430435923,0.988172917839804,0.948278542392506,0.98551623785486
CADD_raw_hg19,9773,13499,0.954081227083178,0.988473203562451,0.926286146405424,0.985464048377945
DANN,9773,13499,0.874174807465731,0.988473203562451,0.784416320534365,0.985464048377945
fathmm-MKL_coding,9773,13498,0.933848448687274,0.988473994586011,0.88672404638789,0.985465404095953
fathmm-XF_coding,8709,12711,0.956383015520151,0.987838231291992,0.934480133517854,0.983934489187554
Eigen-raw_coding,8748,12733,0.957196557584101,0.988021576847265,0.93527649416204,0.984169415509143
Eigen-PC-raw_coding,8748,12733,0.954833283902649,0.988021576847265,0.931153844864276,0.984169415509143
GenoCanyon,9773,13499,0.808129656924302,0.988473203562451,0.711195832696171,0.985464048377945
integrated_fitCons,8758,13251,0.635395241512664,0.988192758817349,0.495865965421849,0.98388275435943
GM12878_fitCons,8758,13251,0.594819219286539,0.988192758817349,0.474542884592675,0.98388275435943
H1-hESC_fitCons,8758,13251,0.622619983835214,0.988192758817349,0.493541293100803,0.98388275435943
HUVEC_fitCons,8758,13251,0.611958416181785,0.988192758817349,0.496986839166307,0.98388275435943
LINSIGHT,15,360,0.938888888888889,0.970185185185186,0.468286029802228,0.816958097369868
GERP++,9773,13282,0.86960986228988,0.988383458552152,0.778945445201321,0.985575425536382
phyloP470way,9147,11724,0.901181116892945,0.98736104784156,0.859055007805664,0.985056310161882
phyloP17way,9781,13714,0.800091751966876,0.988429469610747,0.655916614050687,0.985232827692838
phastCons470way,9781,13669,0.844986071399377,0.988380659719572,0.708149879231027,0.985214342451375
phastCons17way,9781,13714,0.828604700935018,0.988429469610747,0.738044820217323,0.985232827692838
SiPhy,9770,13211,0.893872712536725,0.988323469160251,0.824112880315472,0.98554239569433
bStatistic,9660,13418,0.603181798683947,0.988423402697283,0.506107210307329,0.985291346608956
